epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.902,1.8225,3.25441,0.01953,0.59552,0.55647,0.54076,0.24739,1.87833,1.79863,0.01776,0.000665755,0.000665755,0.000665755
2,916.341,2.05089,1.95069,0.02277,0.6031,0.63339,0.61835,0.28767,1.9504,1.47261,0.02014,0.00130604,0.00130604,0.00130604
3,1357.56,2.02145,1.88559,0.02268,0.61498,0.39014,0.4428,0.20515,2.00379,2.41259,0.02074,0.00191992,0.00191992,0.00191992
4,1797.35,1.94077,1.79895,0.02109,0.70758,0.66083,0.71913,0.32371,1.8867,1.38013,0.01901,0.0018812,0.0018812,0.0018812
5,2233.32,1.84501,1.69114,0.01948,0.65444,0.65708,0.68161,0.32021,1.80424,1.51484,0.01902,0.0018416,0.0018416,0.0018416
6,2672.28,1.82159,1.61528,0.01946,0.71104,0.62423,0.66618,0.3297,1.81242,1.48763,0.01941,0.001802,0.001802,0.001802
7,3113.77,1.75536,1.53489,0.01837,0.7177,0.58316,0.64377,0.34347,1.6499,1.58833,0.01686,0.0017624,0.0017624,0.0017624
8,3552.78,1.73952,1.4787,0.01798,0.75157,0.65503,0.72685,0.35644,1.72071,1.33079,0.0168,0.0017228,0.0017228,0.0017228
9,3990.76,1.70074,1.4443,0.01755,0.7688,0.65551,0.73034,0.37338,1.69541,1.37237,0.01671,0.0016832,0.0016832,0.0016832
10,4429.36,1.67517,1.39992,0.01709,0.76121,0.72656,0.77183,0.37762,1.73258,1.18694,0.01703,0.0016436,0.0016436,0.0016436
11,4870.83,1.64074,1.3411,0.0166,0.77417,0.67762,0.76221,0.40117,1.66436,1.24773,0.01524,0.001604,0.001604,0.001604
12,5309.08,1.61626,1.32873,0.01633,0.82967,0.71663,0.78871,0.41123,1.62702,1.17559,0.01542,0.0015644,0.0015644,0.0015644
13,5747.46,1.60397,1.23288,0.01589,0.82297,0.70638,0.78108,0.4082,1.63907,1.19898,0.0166,0.0015248,0.0015248,0.0015248
14,6184.69,1.59067,1.24641,0.01586,0.77538,0.73511,0.77084,0.40898,1.67231,1.21096,0.01673,0.0014852,0.0014852,0.0014852
15,6621.47,1.56035,1.20811,0.01549,0.75521,0.70842,0.77839,0.42388,1.64385,1.16164,0.01638,0.0014456,0.0014456,0.0014456
16,7058.28,1.56228,1.19974,0.01557,0.7817,0.72485,0.79291,0.44216,1.60889,1.0689,0.0156,0.001406,0.001406,0.001406
17,7494.7,1.57057,1.17034,0.01567,0.81836,0.74938,0.82114,0.43602,1.58133,1.07138,0.01457,0.0013664,0.0013664,0.0013664
18,7931.05,1.55445,1.14417,0.01525,0.85532,0.71621,0.80365,0.43394,1.58607,1.13013,0.01599,0.0013268,0.0013268,0.0013268
19,8366.44,1.50316,1.11211,0.01449,0.8685,0.71879,0.81176,0.44434,1.59488,1.15264,0.01433,0.0012872,0.0012872,0.0012872
20,8802.99,1.50917,1.09529,0.01463,0.82762,0.73511,0.81565,0.44344,1.54855,1.07788,0.01427,0.0012476,0.0012476,0.0012476
21,9237.95,1.48067,1.07344,0.01462,0.84958,0.71908,0.81494,0.42757,1.64129,1.10288,0.01584,0.001208,0.001208,0.001208
22,9673.65,1.47771,1.06433,0.0141,0.83496,0.70637,0.80756,0.43657,1.60473,1.09134,0.01559,0.0011684,0.0011684,0.0011684
23,10110.1,1.46311,1.0181,0.01394,0.86785,0.75975,0.83736,0.45737,1.5448,1.07634,0.01344,0.0011288,0.0011288,0.0011288
24,10551.1,1.46175,1.03673,0.01383,0.87128,0.73717,0.8185,0.43665,1.62082,1.09923,0.01522,0.0010892,0.0010892,0.0010892
25,10987.1,1.46719,0.99686,0.0138,0.83349,0.75034,0.81906,0.44724,1.63895,1.05189,0.01534,0.0010496,0.0010496,0.0010496
26,11423.9,1.42912,0.97732,0.01347,0.84546,0.78637,0.84522,0.45321,1.60186,1.03379,0.0146,0.00101,0.00101,0.00101
27,11861.7,1.43047,0.979,0.01365,0.88217,0.79261,0.85067,0.47302,1.56693,1.01945,0.014,0.0009704,0.0009704,0.0009704
28,12300.4,1.39856,0.96153,0.01305,0.838,0.73922,0.82103,0.45344,1.5916,1.02884,0.01448,0.0009308,0.0009308,0.0009308
29,12738.1,1.38726,0.95847,0.01304,0.85478,0.79772,0.85207,0.47263,1.53995,0.96407,0.01367,0.0008912,0.0008912,0.0008912
30,13175.3,1.37435,0.94652,0.01267,0.81882,0.75171,0.80673,0.4493,1.58315,1.05068,0.01521,0.0008516,0.0008516,0.0008516
31,13612.8,1.35694,0.92291,0.01258,0.85327,0.78439,0.83457,0.46922,1.5563,0.97439,0.01378,0.000812,0.000812,0.000812
32,14049.9,1.36645,0.89513,0.01247,0.84789,0.78439,0.83774,0.45599,1.61104,0.98162,0.01439,0.0007724,0.0007724,0.0007724
33,14486.3,1.33839,0.88648,0.01249,0.88966,0.78234,0.84732,0.46567,1.55941,1.01611,0.01365,0.0007328,0.0007328,0.0007328
34,14923.7,1.33248,0.88349,0.01206,0.85866,0.76097,0.83763,0.46942,1.56962,0.97334,0.01361,0.0006932,0.0006932,0.0006932
35,15361.4,1.31437,0.88197,0.01194,0.84651,0.78139,0.84245,0.47216,1.5782,1.01796,0.01409,0.0006536,0.0006536,0.0006536
36,15798.3,1.31034,0.86487,0.01173,0.80077,0.78234,0.82773,0.45171,1.58826,0.9616,0.01389,0.000614,0.000614,0.000614
